SampleID	Tissue	Genotype	Treatment	group	antibody	control	Replicate	MergeID	paired	acc	spots	avgLength
H2AZ_leaf_R1_T1	leaf		H2AZ	H2AZ_leaf	H2AZ	input_leaf	1	m01	FALSE	SRR7889760	27732267	75.50861492859563
H2AZ_leaf_R2_T1	leaf		H2AZ	H2AZ_leaf	H2AZ	input_leaf	2	m01	FALSE	SRR7889761	19252409	75.51361369894022
H3K27ac_leaf_R1_T1	leaf		H3K27ac	H3K27ac_leaf	H3K27ac	input_leaf	1	m02	FALSE	SRR7889762	50627599	75.49113117135971
H3K27ac_leaf_R2_T1	leaf		H3K27ac	H3K27ac_leaf	H3K27ac	input_leaf	2	m02	FALSE	SRR7889763	51044191	75.50096168631607
H3K27me3_leaf_R1_T1	leaf		H3K27me3	H3K27me3_leaf	H3K27me3	input_leaf	1	m03	FALSE	SRR7889764	24095651	75.48553911243154
H3K27me3_leaf_R2_T1	leaf		H3K27me3	H3K27me3_leaf	H3K27me3	input_leaf	2	m03	FALSE	SRR7889765	24046522	75.4639965397075
H3K36me3_leaf_R1_T1	leaf		H3K36me3	H3K36me3_leaf	H3K36me3	input_leaf	1	m04	FALSE	SRR7889766	49208879	75.49800370376249
H3K36me3_leaf_R2_T1	leaf		H3K36me3	H3K36me3_leaf	H3K36me3	input_leaf	2	m04	FALSE	SRR7889767	75396238	75.49946123306577
H3K4me1_leaf_R1_T1	leaf		H3K4me1	H3K4me1_leaf	H3K4me1	input_leaf	1	m05	FALSE	SRR7889768	48198327	75.48623677332203
H3K4me1_leaf_R2_T1	leaf		H3K4me1	H3K4me1_leaf	H3K4me1	input_leaf	2	m05	FALSE	SRR7889769	48459950	75.48724084527532
H3K4me3_leaf_R1_T1	leaf		H3K4me3	H3K4me3_leaf	H3K4me3	input_leaf	1	m06	FALSE	SRR7889770	14706690	75.19374828734406
H3K4me3_leaf_R2_T1	leaf		H3K4me3	H3K4me3_leaf	H3K4me3	input_leaf	2	m06	FALSE	SRR7889771	14206461	75.44080619374523
H3K56ac_leaf_R1_T1	leaf		H3K56ac	H3K56ac_leaf	H3K56ac	input_leaf	1	m07	FALSE	SRR7889772	14631000	75.46001339621353
H3K56ac_leaf_R2_T1	leaf		H3K56ac	H3K56ac_leaf	H3K56ac	input_leaf	2	m07	FALSE	SRR7889773	30604762	75.50458003888414
H3K9ac_leaf_R1_T1	leaf		H3K9ac	H3K9ac_leaf	H3K9ac	input_leaf	1	m08	FALSE	SRR7889774	23017373	75.46224753797925
H3K9ac_leaf_R2_T1	leaf		H3K9ac	H3K9ac_leaf	H3K9ac	input_leaf	2	m08	FALSE	SRR7889775	42990103	75.44502126454547
H3_leaf_R1_T1	leaf		H3	H3_leaf	H3	input_leaf	1	m09	FALSE	SRR7889776	46542831	75.34001017256557
H3_leaf_R2_T1	leaf		H3	H3_leaf	H3	input_leaf	2	m09	FALSE	SRR7889777	15137000	75.38239069828896
input_leaf_R1_T1	leaf		input	input_leaf			1	m10	FALSE	SRR7889778	22716315	75.47088711351292
input_leaf_R2_T1	leaf		input	input_leaf			2	m10	FALSE	SRR7889779	20824166	75.45396473501027
H3K27me3_ear_R1_T1	ear		H3K27me3	H3K27me3_ear	H3K27me3	input_ear	1	m11	FALSE	SRR7889780	78963021	75.50063406262028
H3K27me3_ear_R2_T1	ear		H3K27me3	H3K27me3_ear	H3K27me3	input_ear	2	m11	FALSE	SRR7889781	72768893	75.49957870047577
H3K36me3_ear_R1_T1	ear		H3K36me3	H3K36me3_ear	H3K36me3	input_ear	1	m12	FALSE	SRR7889782	41183792	75.49447153870629
H3K36me3_ear_R2_T1	ear		H3K36me3	H3K36me3_ear	H3K36me3	input_ear	2	m12	FALSE	SRR7889783	56234785	76
H3K4me3_ear_R1_T1	ear		H3K4me3	H3K4me3_ear	H3K4me3	input_ear	1	m13	FALSE	SRR7889784	42571199	75.55390309772577
H3K4me3_ear_R2_T1	ear		H3K4me3	H3K4me3_ear	H3K4me3	input_ear	2	m13	FALSE	SRR7889785	44288396	76
H3K56ac_ear_R1_T1	ear		H3K56ac	H3K56ac_ear	H3K56ac	input_ear	1	m14	FALSE	SRR7889786	20524329	75.39877698315983
H3K56ac_ear_R2_T1	ear		H3K56ac	H3K56ac_ear	H3K56ac	input_ear	2	m14	FALSE	SRR7889787	38591965	75.51572631764151
H3_ear_R1_T1	ear		H3	H3_ear	H3	input_ear	1	m15	FALSE	SRR7889788	13843701	75.50926049327416
input_ear_R1_T1	ear		input	input_ear			1	m16	FALSE	SRR7889789	33165873	75.48408959414395
